modulo,permissao,descricao,Colaborador Interno/Fisio,Colaborador SAC,Colaborador Treinamento,Colaboradores Internos,Consultor de Vendas Online,Consultora Online Rio de Janeiro,Consultora de Vendas,Expansão,Franqueado,Franqueado/Fisio,Gerente,Gerente de Campo,Gerente de Campo (descontos),Gerente de Campo - Franquias,Gerente/Fisio,Marketing,Profissional,Proprietário,SAC,Subgerente,Terminal,cancelar
Agenda,schedule.manager,Incluir/Alterar/Cancelar,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,
Agenda,schedule.viewer,Visualizar,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Ajuda,support.viewer,Consultar base de conhecimento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,
Anamnese,custom_entity.manager,Incluir/Alterar/Inativar,,,,,,,,,X,X,,,,,,,,X,,,,
Anamnese,custom_entity.viewer,Visualizar,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,
Assinatura,subscription.approve_payment,Aprovar pagamento manual,,,,,,,,,,,,,,,,,,X,,,,
Assinatura,subscription.force_charge_quota,Forçar cobrança via Asaas,,,,,,,,,,,,,,,,,,X,X,,,
Assinatura,subscription.manager,Incluir/Alterar/Inativar,,X,,,,,,,X,X,X,X,X,X,,X,,X,X,,,
Bloqueio,block.block_assiduity,Configurar Assiduidade,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,,X,X,X,,
Bloqueio,block.salon_block,Incluir/Alterar/Excluir Bloqueios da Unidade,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,X,X,,
Bloqueio,block.user_block,Incluir/Alterar/Excluir Bloqueios do Profissional,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,
CRM - Quadros,crm.board_manager,Incluir,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,,
CRM - Quadros,crm.board_viewer,Manipular,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,
Caixa,cashstation.manager,Abrir / Fechar,X,,X,,,,,,,,,,,,X,,,X,,X,,
Caixa,cashstation.reviewer,Pode fechar OS em qualquer caixa aberto,,,,,,,,,,,,X,X,X,X,X,,X,X,X,,
Caixa,cashstation.reopen,Reabrir caixas,,,,,,,,,,,,,,,,,,X,,,,
Clientes,customer.block,Bloquear agendamentos,,,,,,,,,,,X,,,,X,,,X,,,,
Clientes,customer.export,Exportar,X,,,,,,X,,X,X,X,X,X,X,X,X,,X,X,,,
Clientes,customer.manager,Incluir/Alterar/Inativar,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,
Clientes,customer.manage_all,Modificar clientes com OS finalizada,,X,,,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,
Clientes,customer.merge,Unificar Clientes,X,X,X,X,,,,X,X,X,X,X,X,,X,X,,X,X,X,,
Clientes,customer.read,Visualizar,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,
Clientes,customer.read_complete,Visualizar dados completos,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,
Clientes - Acompanhamentos,customer_event.delete_event,Excluir Acompanhamentos,,,,,,,,,,X,,,,,,,,X,,,,
Clientes - Acompanhamentos,customer_event.manager_event,Incluir Acompanhamentos,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,
Clientes - Acompanhamentos,customer_event.customer_custom_entity,Incluir Anamnese / Ficha Técnica,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,
Clientes - Acompanhamentos,customer_event.image_viewer,Visualizar Imagens,X,X,X,,,,,,,X,,X,X,X,X,X,X,X,X,,,
Clientes - Assinaturas,customer_subscription.cancel_subscription,Cancelar assinatura,,X,,,,,,,X,X,,X,X,X,,,,X,,,,
Clientes - Assinaturas,customer_subscription.read,Visualizar,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,
Clientes - Origem do Cliente,customer_channel.manager,Incluir/Alterar/Inativar,,,,,,,,,X,,,,,,,,,X,,,,
Clientes - Origem do Cliente,customer_channel.viewer,Visualizar,,,,,,,X,,X,X,X,X,X,X,X,X,,X,,,,
Comissões por meta & Prêmios/bônus,bonification.manager,Incluir/Alterar/Inativar,,,,,,,,,,,,,,,,,,X,,,,
Comissões por meta & Prêmios/bônus,bonification.viewer,Visualizar,,,,,,,,,X,,,,,,,,,X,,,,
Configuração de Campos,field_setting.manager,Configurar Campos,,,,,,,,,,,X,,,,X,,,X,,X,,
Dashboards,dashboard.account_management,Financeiro / Contábil,X,X,X,X,,,,X,X,X,,,,,,,,X,,,,
Dashboards,dashboard.salon,Gerencial,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,
Dashboards,dashboard.performance,Performance,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,
Dashboards,dashboard.sales_funnel,Vendas,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,
Descontos,discount.manager,Incluir/Alterar/Inativar,X,X,X,,,,,X,,,,,,,,,,X,,,,
Descontos,discount.viewer,Visualizar,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,X,X,,
Faturas,organization_invoice.viewer,Visualizar,X,X,X,X,,,,X,X,X,,,,,,X,,X,X,,,
Fidelidade,wallet.walletmanager,Adicionar / Remover pontos manualmente,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,,X,X,X,,
Fidelidade,wallet.pricemanager,Modificar preço em pontos,,,,,,,,,,,,,,,,,,X,,,,
Fidelidade,wallet.customer_money_transfer,Transferir dinheiro entre clientes,,X,,,,,,X,,,,,X,,,,,X,,,,
Fidelidade,wallet.salon_money_transfer,Transferir dinheiro entre unidades,,,,,,,,,X,,,,X,,,,,X,,,,
Fidelidade,wallet.customer_point_transfer,Transferir pontos entre clientes,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,,X,X,,,
Financeiro / Contábil,account_management.manager,Incluir/Alterar/Cancelar Contas,X,X,X,X,,,,X,X,X,,,,,,,,X,,,,
Financeiro / Contábil,account_management.category_manager,Incluir/Alterar/Inativar Categorias,,,,,,,,,X,X,,,,,,,,X,,,,
Financeiro / Contábil,account_management.supplier_manager,Incluir/Alterar/Inativar Fornecedores,,,,,,,,,X,X,,,,,,,,X,,,,
Financeiro / Contábil,account_management.category_viewer,Visualizar Categorias,X,X,X,X,,,,X,X,X,,,,,,X,,X,X,,,
Financeiro / Contábil,account_management.viewer,Visualizar Contas,X,X,X,X,,,,X,X,X,,,,,,X,,X,X,,,
Financeiro / Contábil,account_management.supplier_viewer,Visualizar Fornecedores,,,,,,,,,X,X,,,,,,X,,X,X,,,
Formas de pagamento,paymentmethod.manager,Incluir/Alterar/Inativar,,,,,,,,,,,,,,,,,,X,,,,
Formas de pagamento,paymentmethod.viewer,Visualizar,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,X,X,,
Funcionalidades,features.manager,Ativar / Desativar Funcionalidades,,,,,,,,,,,X,,,,,,,X,,,,
Grupos de Planos de Assinatura,subscription_plan_group.manager,Incluir/Alterar/Inativar,,,,,,,,,,,,,,,,,,X,,,,
Grupos de Planos de Assinatura,subscription_plan_group.viewer,Visualizar,,,,,,,,X,X,X,,X,X,,,,,X,,,,
Grupos de produto,productgroup.manager,Incluir/Alterar/Inativar,,,,,,,,,,,,,,,,,,X,,,,
Grupos de produto,productgroup.viewer,Visualizar,X,X,X,X,,,X,X,X,X,X,X,X,X,,X,,X,X,,,
Grupos de serviço,servicegroup.manager,Incluir/Alterar/Inativar,,,,,,,,,,,,,,,,,,X,,,,
Grupos de serviço,servicegroup.viewer,Visualizar,X,X,X,X,,,,X,X,X,X,X,X,X,,X,,X,X,,,
Histórico de alterações,audit.viewer,Visualizar,,,X,,,,,,X,X,X,X,X,X,X,X,,X,X,X,,
Mensagens / Notificações,message.message_sender,Enviar mensagens,X,X,X,X,,,,,,,,,,,,X,,X,X,,,
